,Target User,Compound Score,Positive Score,Negative Score,Neutral Score,Date & Time
226,CNN,0.0,0.0,0.0,1.0,2018-10-01 20:00:17+00:00
227,CNN,-0.5106,0.0,0.171,0.829,2018-10-01 19:50:03+00:00
228,CNN,0.9325,0.429,0.0,0.571,2018-10-01 19:41:40+00:00
229,CNN,0.0,0.0,0.0,1.0,2018-10-01 19:40:04+00:00
230,CNN,0.743,0.326,0.0,0.674,2018-10-01 19:33:02+00:00
231,CNN,-0.4588,0.0,0.136,0.864,2018-10-01 19:30:05+00:00
232,CNN,0.0,0.0,0.0,1.0,2018-10-01 19:20:10+00:00
233,CNN,0.743,0.296,0.0,0.704,2018-10-01 19:10:40+00:00
234,CNN,-0.3818,0.0,0.157,0.843,2018-10-01 19:10:08+00:00
235,CNN,0.0,0.0,0.0,1.0,2018-10-01 19:00:05+00:00
236,CNN,0.2382,0.134,0.0,0.866,2018-10-01 18:50:07+00:00
237,CNN,0.0,0.0,0.0,1.0,2018-10-01 18:40:08+00:00
238,CNN,-0.6808,0.0,0.219,0.781,2018-10-01 18:30:07+00:00
239,CNN,0.0,0.0,0.0,1.0,2018-10-01 18:20:07+00:00
240,CNN,-0.4588,0.0,0.136,0.864,2018-10-01 18:10:06+00:00
241,CNN,-0.0772,0.0,0.071,0.929,2018-10-01 18:01:39+00:00
242,CNN,0.7964,0.283,0.0,0.717,2018-10-01 17:50:00+00:00
243,CNN,0.0,0.0,0.0,1.0,2018-10-01 17:40:00+00:00
244,CNN,0.0,0.0,0.0,1.0,2018-10-01 17:33:16+00:00
245,CNN,0.0,0.0,0.0,1.0,2018-10-01 17:30:01+00:00
246,CNN,-0.357,0.0,0.115,0.885,2018-10-01 17:20:26+00:00
247,CNN,0.0,0.0,0.0,1.0,2018-10-01 17:10:06+00:00
248,CNN,0.7351,0.256,0.0,0.744,2018-10-01 17:00:07+00:00
249,CNN,0.2023,0.101,0.0,0.899,2018-10-01 16:50:10+00:00
250,CNN,0.3182,0.141,0.0,0.859,2018-10-01 16:40:05+00:00
251,CNN,0.5574,0.175,0.0,0.825,2018-10-01 16:30:03+00:00
252,CNN,-0.34,0.0,0.13,0.87,2018-10-01 16:20:09+00:00
253,CNN,0.5267,0.196,0.0,0.804,2018-10-01 16:10:27+00:00
254,CNN,-0.8342,0.0,0.33,0.67,2018-10-01 16:00:09+00:00
255,CNN,-0.296,0.0,0.104,0.896,2018-10-01 15:50:04+00:00
256,CNN,0.0,0.0,0.0,1.0,2018-10-01 15:43:15+00:00
257,CNN,0.25,0.143,0.103,0.754,2018-10-01 15:40:10+00:00
258,CNN,0.0,0.0,0.0,1.0,2018-10-01 15:30:06+00:00
259,CNN,0.8885,0.396,0.0,0.604,2018-10-01 15:26:58+00:00
260,CNN,0.0,0.0,0.0,1.0,2018-10-01 15:20:37+00:00
261,CNN,0.0,0.0,0.0,1.0,2018-10-01 15:20:08+00:00
262,CNN,0.7906,0.28,0.0,0.72,2018-10-01 15:10:07+00:00
263,CNN,0.0516,0.062,0.0,0.938,2018-10-01 15:00:11+00:00
264,CNN,0.4767,0.147,0.0,0.853,2018-10-01 14:50:07+00:00
265,CNN,0.0,0.0,0.0,1.0,2018-10-01 14:40:08+00:00
266,CNN,-0.25,0.093,0.134,0.772,2018-10-01 14:30:03+00:00
267,CNN,-0.6486,0.0,0.177,0.823,2018-10-01 14:20:05+00:00
268,CNN,-0.8442,0.0,0.351,0.649,2018-10-01 14:10:08+00:00
269,CNN,-0.1779,0.0,0.078,0.922,2018-10-01 14:02:00+00:00
270,CNN,0.5574,0.204,0.0,0.796,2018-10-01 14:00:02+00:00
271,CNN,0.128,0.07,0.0,0.93,2018-10-01 13:50:03+00:00
272,CNN,-0.296,0.0,0.104,0.896,2018-10-01 13:40:09+00:00
273,CNN,0.25,0.143,0.103,0.754,2018-10-01 13:31:18+00:00
274,CNN,0.4588,0.13,0.0,0.87,2018-10-01 13:29:06+00:00
275,CNN,0.0,0.0,0.0,1.0,2018-10-01 13:15:10+00:00
276,CNN,0.7184,0.273,0.0,0.727,2018-10-01 13:13:47+00:00
277,CNN,0.0,0.0,0.0,1.0,2018-10-01 13:10:05+00:00
278,CNN,0.0,0.0,0.0,1.0,2018-10-01 13:00:13+00:00
279,CNN,0.0,0.0,0.0,1.0,2018-10-01 12:54:06+00:00
280,CNN,0.0836,0.123,0.11,0.767,2018-10-01 12:45:12+00:00
281,CNN,0.3612,0.143,0.0,0.857,2018-10-01 12:36:06+00:00
282,CNN,0.0,0.0,0.0,1.0,2018-10-01 12:26:10+00:00
283,CNN,0.0,0.0,0.0,1.0,2018-10-01 12:26:05+00:00
284,CNN,0.0,0.0,0.0,1.0,2018-10-01 12:20:11+00:00
285,CNN,-0.34,0.0,0.194,0.806,2018-10-01 12:18:06+00:00
286,CNN,0.0,0.0,0.0,1.0,2018-10-01 12:10:07+00:00
287,CNN,-0.6597,0.122,0.322,0.556,2018-10-01 12:00:03+00:00
288,CNN,-0.7717,0.0,0.309,0.691,2018-10-01 11:55:09+00:00
289,CNN,-0.5574,0.0,0.223,0.777,2018-10-01 11:50:10+00:00
290,CNN,0.5574,0.159,0.0,0.841,2018-10-01 11:45:06+00:00
291,CNN,0.4404,0.155,0.073,0.773,2018-10-01 11:38:55+00:00
292,CNN,0.0,0.0,0.0,1.0,2018-10-01 11:35:05+00:00
293,CNN,0.0,0.0,0.0,1.0,2018-10-01 11:29:04+00:00
294,CNN,0.0,0.0,0.0,1.0,2018-10-01 11:25:05+00:00
295,CNN,0.1901,0.08,0.0,0.92,2018-10-01 11:19:04+00:00
296,CNN,0.0,0.0,0.0,1.0,2018-10-01 11:15:00+00:00
297,CNN,0.5574,0.184,0.0,0.816,2018-10-01 11:10:34+00:00
298,CNN,0.0,0.0,0.0,1.0,2018-10-01 11:05:06+00:00
299,CNN,-0.3182,0.0,0.113,0.887,2018-10-01 11:00:14+00:00
300,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 22:19:29+00:00
301,FoxNews,-0.34,0.125,0.217,0.658,2018-10-01 22:15:00+00:00
302,FoxNews,0.2263,0.112,0.0,0.888,2018-10-01 22:10:00+00:00
303,FoxNews,0.4939,0.211,0.0,0.789,2018-10-01 22:03:04+00:00
304,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 21:59:43+00:00
305,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 21:48:52+00:00
306,FoxNews,0.3818,0.115,0.0,0.885,2018-10-01 21:45:23+00:00
307,FoxNews,0.8402,0.321,0.0,0.679,2018-10-01 21:36:11+00:00
308,FoxNews,-0.4215,0.111,0.241,0.648,2018-10-01 21:24:40+00:00
